,xi,sigma xi,frac err in x,yi,sigma yi,frac err in y,xi^2,xi*yi,yi(fitted),residue ei,ei^2
0,2010300.0,3690.0000000000005,0.0018355469332935386,27.58,1.94,0.07034082668600436,4041306090000.0,55444074.0,31.059547218027785,-3.479547218027786,12.107248842484907
1,1940400.0,5100.0,0.0026283240568954853,28.78,2.02,0.07018763029881862,3765152160000.0,55844712.0,30.120409377942764,-1.3404093779427626,1.7966973004769038
2,2416800.0,2100.0,0.000868917576961271,35.18,2.46,0.06992609437180217,5840922240000.0,85023024.0,36.5210569747454,-1.341056974745399,1.798433809513282
3,1350900.0,2100.0,0.001554519209415945,24.48,1.74,0.07107843137254902,1824930810000.0,33070032.0,22.20021257207552,2.2797874279244787,5.19743071652251
4,550200.0,300.0,0.0005452562704471102,12.45,0.92,0.07389558232931728,302720040000.0,6849990.0,11.442449073419205,1.0075509265807945,1.0151588696538174
5,269100.0,2100.0,0.007803790412486065,3.835,0.159,0.041460234680573665,72414810000.0,1031998.5,7.665744540545106,-3.8307445405451057,14.674603734916133
6,2803800.0,900.0,0.00032099293815536056,39.613,2.237,0.056471360411985964,7861294440000.0,111066929.4,41.720575488520836,-2.107575488520837,4.441874439813844
7,1126800.0,2001.0,0.0017758253461128862,18.75,2.227,0.11877333333333333,1269678240000.0,21127500.0,19.18932859549393,-0.43932859549392944,0.19300961481866868
8,1326900.0,5100.0,0.003843545105132263,23.92,1.71,0.07148829431438126,1760663610000.0,31739448.000000004,21.877761811531308,2.042238188468694,4.170736818439893
9,993600.0,2700.0,0.002717391304347826,17.31,1.23,0.0710571923743501,987240960000.0,17199216.0,17.399726874473544,-0.08972687447354666,0.008050912002791599
10,888599.9999999999,600.0,0.0006752194463200541,18.24,1.33,0.07291666666666667,789609959999.9998,16208063.999999996,15.989004797092612,2.2509952029073865,5.066979403512066
11,2113800.0,1809.0,0.0008558047118932728,33.16,2.33,0.07026537997587455,4468150440000.0,70093608.0,32.450116122874704,0.7098838771252929,0.5039351190024379
12,2650800.0,6900.0,0.002602987777274785,40.06,2.81,0.07014478282576135,7026740640000.0,106191048.0,39.664951890051476,0.3950481099485259,0.15606300917390262
13,803700.0,2100.0,0.0026129152668906306,16.98,1.24,0.07302709069493521,645933690000.0,13646826.0,14.848335231667457,2.131664768332543,4.543994684550235
14,722400.0,2100.0,0.0029069767441860465,15.79,1.16,0.07346421785940468,521861760000.0,11406696.0,13.756033280323935,2.033966719676064,4.137020616749808
15,922500.0,5100.0,0.0055284552845528455,17.47,1.26,0.07212364052661706,851006250000.0,16116074.999999998,16.444466496361315,1.025533503638684,1.0517189670854346
16,981600.0,5100.0,0.00519559902200489,19.45,1.41,0.0724935732647815,963538560000.0,19092120.0,17.23850149420144,2.2114985057985592,4.89072564114926
17,610500.0,2100.0,0.0034398034398034397,12.87,0.94,0.07303807303807304,372710250000.0,7857134.999999999,12.252606609286541,0.6173933907134579,0.38117459889666044
18,1567200.0,600.0,0.00038284839203675346,28.05,1.99,0.07094474153297682,2456115840000.0,43959960.0,25.106300051480247,2.943699948519754,8.665369386915202
19,1151700.0,600.0,0.0005209690023443605,21.19,1.51,0.07126002831524303,1326412890000.0,24404523.0,19.523871259558554,1.666128740441449,2.77598497972501
20,5152500.0,6900.0,0.001339155749636099,79.05,5.54,0.07008222643896268,26548256250000.0,407305125.0,73.27641304227892,5.773586957721079,33.334306358366945
21,755400.0,5100.0,0.006751389992057188,12.18,0.86,0.07060755336617405,570629160000.0,9200772.0,14.199403076072228,-2.019403076072228,4.077988783649977
22,2372700.0,600.0,0.00025287646984448094,35.63,2.49,0.06988492843109739,5629705290000.0,84539301.0,35.92855370224541,-0.29855370224540323,0.08913431312443688
23,1362000.0,3000.0000000000005,0.0022026431718061676,19.61,1.37,0.06986231514533402,1855044000000.0,26708820.0,22.349346048827222,-2.7393460488272225,7.504016775225316
24,1485000.0000000002,900.0,0.000606060606060606,20.83,1.46,0.0700912145943351,2205225000000.0005,30932550.000000004,24.001906196616318,-3.1719061966163196,10.060988920133006
25,2413800.0,3600.0,0.0014914243102162564,33.4,2.34,0.07005988023952096,5826430440000.0,80620920.0,36.480750629677374,-3.0807506296773752,9.491024442257544
26,4880400.0,2100.0,0.0004302925989672978,66.47,4.67,0.0702572589137957,23818304160000.0,324400188.0,69.6206275446089,-3.150627544608895,9.926453924848275
