,xi,sigma xi,frac err in x,yi,sigma yi,frac err in y,xi^2,xi*yi,yi(fitted),residue ei,ei^2
0,2010300.0,3690.0000000000005,0.0018355469332935386,27.58,1.94,0.07034082668600436,4041306090000.0,55444074.0,30.279268865949483,-2.6992688659494846,7.286052410684216
1,1940400.0,5100.0,0.0026283240568954853,28.78,2.02,0.07018763029881862,3765152160000.0,55844712.0,29.22643053648131,-0.4464305364813086,0.19930022390298902
2,2416800.0,2100.0,0.000868917576961271,35.18,2.46,0.06992609437180217,5840922240000.0,85023024.0,36.40199820684809,-1.2219982068480917,1.4932796175399514
3,1350900.0,2100.0,0.001554519209415945,24.48,1.74,0.07107843137254902,1824930810000.0,33070032.0,20.34734333731839,4.132656662681612,17.078851091606715
4,550200.0,300.0,0.0005452562704471102,12.45,0.92,0.07389558232931728,302720040000.0,6849990.0,8.28714805255206,4.162851947447939,17.329336336371096
5,269100.0,2100.0,0.007803790412486065,3.835,0.159,0.041460234680573665,72414810000.0,1031998.5,4.053201637480479,-0.21820163748047872,0.04761195459916225
6,2803800.0,900.0,0.00032099293815536056,39.613,2.237,0.056471360411985964,7861294440000.0,111066929.4,42.231017284161155,-2.618017284161155,6.85401450016655
7,1126800.0,2001.0,0.0017758253461128862,18.75,2.227,0.11877333333333333,1269678240000.0,21127500.0,16.971934615804546,1.778065384195454,3.161516510474127
8,1326900.0,5100.0,0.003843545105132263,23.92,1.71,0.07148829431438126,1760663610000.0,31739448.000000004,19.985853782136182,3.9341462178638196,15.477506463532196
9,993600.0,2700.0,0.002717391304347826,17.31,1.23,0.0710571923743501,987240960000.0,17199216.0,14.965667584543306,2.3443324154566927,5.495894474161011
10,888599.9999999999,600.0,0.0006752194463200541,18.24,1.33,0.07291666666666667,789609959999.9998,16208063.999999996,13.384150780621155,4.855849219378843,23.57927164134212
11,2113800.0,1809.0,0.0008558047118932728,33.16,2.33,0.07026537997587455,4468150440000.0,70093608.0,31.838192572672746,1.3218074273272507,1.747174874937485
12,2650800.0,6900.0,0.002602987777274785,40.06,2.81,0.07014478282576135,7026740640000.0,106191048.0,39.92652136987459,0.13347863012540984,0.017816544700155965
13,803700.0,2100.0,0.0026129152668906306,16.98,1.24,0.07302709069493521,645933690000.0,13646826.0,12.105381479164105,4.874618520835895,23.761905723676332
14,722400.0,2100.0,0.0029069767441860465,15.79,1.16,0.07346421785940468,521861760000.0,11406696.0,10.880835610984384,4.909164389015615,24.099894998379057
15,922500.0,5100.0,0.0055284552845528455,17.47,1.26,0.07212364052661706,851006250000.0,16116074.999999998,13.894754777316022,3.575245222683977,12.7823784023246
16,981600.0,5100.0,0.00519559902200489,19.45,1.41,0.0724935732647815,963538560000.0,19092120.0,14.784922806952203,4.6650771930477966,21.762945217094707
17,610500.0,2100.0,0.0034398034398034397,12.87,0.94,0.07303807303807304,372710250000.0,7857134.999999999,9.19539055994735,3.674609440052649,13.50275453692404
18,1567200.0,600.0,0.00038284839203675346,28.05,1.99,0.07094474153297682,2456115840000.0,43959960.0,23.605267953398016,4.444732046601985,19.755642966090665
19,1151700.0,600.0,0.0005209690023443605,21.19,1.51,0.07126002831524303,1326412890000.0,24404523.0,17.346980029306085,3.8430199706939163,14.76880249515227
20,5152500.0,6900.0,0.001339155749636099,79.05,5.54,0.07008222643896268,26548256250000.0,407305125.0,77.60728887817973,1.4427111218202668,2.0814153810238927
21,755400.0,5100.0,0.006751389992057188,12.18,0.86,0.07060755336617405,570629160000.0,9200772.0,11.377883749359917,0.8021162506400827,0.643390479540904
22,2372700.0,600.0,0.00025287646984448094,35.63,2.49,0.06988492843109739,5629705290000.0,84539301.0,35.737761149200786,-0.10776114920078328,0.011612465277073474
23,1362000.0,3000.0000000000005,0.0022026431718061676,19.61,1.37,0.06986231514533402,1855044000000.0,26708820.0,20.514532256590158,-0.9045322565901586,0.8181786032120845
24,1485000.0000000002,900.0,0.000606060606060606,20.83,1.46,0.0700912145943351,2205225000000.0005,30932550.000000004,22.367166226898966,-1.537166226898968,2.36288000911881
25,2413800.0,3600.0,0.0014914243102162564,33.4,2.34,0.07005988023952096,5826430440000.0,80620920.0,36.35681201245031,-2.956812012450314,8.742737276970475
26,4880400.0,2100.0,0.0004302925989672978,66.47,4.67,0.0702572589137957,23818304160000.0,324400188.0,73.50890104630147,-7.038901046301476,49.54612793962401
